name	taxid
Sparrow coronavirus HKU17	1159906
Thrush coronavirus HKU12	1297662
White-eye coronavirus HKU16	1159907
Wigeon coronavirus HKU20	1159908
Avian coronavirus	694014
Beluga whale coronavirus SW1	694015
Goat torovirus	1837217
Avian HDV-like agent	2364132
Hepatitis delta virus	12475
Snake deltavirus F18-5	2419666
Lloviu cuevavirus	1513237
Bombali ebolavirus	2010960
Bundibugyo ebolavirus	565995
Reston ebolavirus	186539
Sudan ebolavirus	186540
Tai Forest ebolavirus	186541
Zaire ebolavirus	186538
Marburg marburgvirus	11269
Lumpfish flavivirus	2050971
Mogiana tick virus	1172985
Aedes flavivirus	390845
Apoi virus	64280
Aroa virus	64303
Bagaza virus	64290
Banzi virus	38837
Bouboui virus	64295
Cacipacore virus	64305
Cell fusing agent virus	31658
Chaoyang virus	631267
Culex flavivirus	390844
Dengue virus	12637
Donggang virus	985683
Edge Hill virus	64296
Entebbe bat virus	64283
Gadgets Gully virus	64307
Hanko virus	1125677
Ilheus virus	59563
Israel turkey meningoencephalomyelitis virus	64291
Japanese encephalitis virus	11072
Jugra virus	64309
Jutiapa virus	64299
Kadam virus	64310
Kamiti River virus	218849
Kedougou virus	64311
Kokobera virus	44024
Kyasanur Forest disease virus	33743
Langat virus	11085
Louping ill virus	11086
Meaban virus	35279
Mercadeo virus	1708574
Modoc virus	64300
Montana myotis leukoencephalitis virus	64312
Murray Valley encephalitis virus	11079
Nounane virus	486494
Ntaya virus	64292
Ochlerotatus caspius flavivirus	1244565
Omsk hemorrhagic fever virus	12542
Palm Creek virus	1302179
Paraiso Escondido virus	1566298
Parramatta River virus	1708654
Phnom Penh bat virus	64894
Powassan virus	11083
Quang Binh virus	643132
Rio Bravo virus	64285
Royal Farm virus	64288
Saboya virus	64284
Saint Louis encephalitis virus	11080
Saumarez Reef virus	40012
Sepik virus	44026
Sokoluk virus	64317
Spanish goat encephalitis virus	1691889
Spondweni virus	64318
T'Ho virus	577122
Tamana bat virus	161675
Tembusu virus	64293
Tick-borne encephalitis virus	11084
Uganda S virus	64297
Usutu virus	64286
Wesselsbron virus	164416
West Nile virus	11082
Yaounde virus	64319
Yellow fever virus	11089
Yokose virus	64294
Zika virus	64320
Bat hepacivirus	1325446
Bovine hepacivirus	1633878
Equine hepacivirus	1281455
Hepacivirus A	2008761
Hepacivirus B	2008762
Hepacivirus C	11103
Hepacivirus D	2008763
Hepacivirus F	2008765
Hepacivirus G	2008766
Hepacivirus H	2008767
Hepacivirus I	2008768
Hepacivirus J	2008769
Hepacivirus K	2008770
Hepacivirus L	2008771
Hepacivirus M	2008772
Hepacivirus N	2008773
Hepacivirus P	2202225
Hepatitis GB virus B	39113
Rodent hepacivirus	1281454
Wenling shark virus	1746066
Norway rat pegivirus	1562065
Pegivirus A	1307800
Pegivirus B	1307801
Pegivirus C	1985356
Pegivirus D	1985357
Pegivirus E	1985358
Pegivirus F	1985359
Pegivirus G	1985360
Pegivirus H	1985361
Pegivirus I	1985362
Pegivirus K	1985364
Rodent pegivirus	1321391
Atypical porcine pestivirus	1914447
Linda virus	2014960
Norway rat pestivirus	1562066
Pestivirus A	2170080
Pestivirus B	2170081
Pestivirus C	2170082
Pestivirus D	2170083
Pestivirus E	2170084
Pestivirus F	2170085
Pestivirus G	2170086
Pestivirus H	2170087
Pestivirus I	2170088
Pestivirus K	2170090
Alces alces faeces associated circular virus MP65	2219143
Gopherus associated genomovirus 1	2041417
Lepus americanus faeces associated genomovirus SHP111	2219118
Lepus americanus faeces associated genomovirus SHP7	2219120
Lynx canadensis faeces associated genomovirus CL1 148	2219123
Lynx canadensis faeces associated genomovirus CL1 48	2219125
Blackbird associated gemycircularvirus 1	1985371
Bovine associated gemycircularvirus 1	1985372
Chickadee associated gemycircularvirus 1	1985375
Chicken associated gemycircularvirus 1	1985376
Chicken associated gemycircularvirus 2	1985377
Chicken stool-associated gemycircularvirus	1930298
Equine associated gemycircularvirus 1	1985379
Fur seal associated gemycircularvirus 1	1985380
Gemycircularvirus HV-GcV1	1862824
Gemycircularvirus sp.	1983771
Gerygone associated gemycircularvirus 1	1985381
Gerygone associated gemycircularvirus 2	1985382
Gerygone associated gemycircularvirus 3	1985383
Giant panda associated gemycircularvirus	2016461
Lama associated gemycircularvirus 1	1985385
Mallard associated gemycircularvirus 1	1985386
Miniopterus associated gemycircularvirus 1	1985387
Mongoose associated gemycircularvirus 1	1985388
Mongoose feces-associated gemycircularvirus a	1634485
Mongoose feces-associated gemycircularvirus c	1634488
Porcine associated gemycircularvirus 1	1985393
Porcine associated gemycircularvirus 2	1985394
Porcine feces-associated gemycircularvirus	2017712
Pteropus associated gemycircularvirus 1	1985395
Pteropus associated gemycircularvirus 10	1985404
Pteropus associated gemycircularvirus 2	1985396
Pteropus associated gemycircularvirus 3	1985397
Pteropus associated gemycircularvirus 4	1985398
Pteropus associated gemycircularvirus 5	1985399
Pteropus associated gemycircularvirus 6	1985400
Pteropus associated gemycircularvirus 7	1985401
